viable_seeds_per_silique,accession,treatment,viability,plant_ID,mutant
3,Col-0,TRV2-RECQ4,Viable,82,msh4
8,Col-0,TRV2-RECQ4,Viable,82,msh4
5,Col-0,TRV2-RECQ4,Viable,82,msh4
4,Col-0,TRV2-RECQ4,Viable,82,msh4
4,Col-0,TRV2-RECQ4,Viable,82,msh4
7,Col-0,TRV2-RECQ4,Viable,82,msh4
2,Col-0,TRV2-RECQ4,Viable,82,msh4
10,Col-0,TRV2-RECQ4,Viable,83,msh4
34,Col-0,TRV2-RECQ4,Viable,83,msh4
11,Col-0,TRV2-RECQ4,Viable,83,msh4
6,Col-0,TRV2-RECQ4,Viable,83,msh4
9,Col-0,TRV2-RECQ4,Viable,83,msh4
7,Col-0,TRV2-RECQ4,Viable,83,msh4
13,Col-0,TRV2-RECQ4,Viable,83,msh4
8,Col-0,TRV2-RECQ4,Viable,83,msh4
12,Col-0,TRV2-RECQ4,Viable,83,msh4
7,Col-0,TRV2-RECQ4,Viable,83,msh4
8,Col-0,TRV2-RECQ4,Viable,84,msh4
14,Col-0,TRV2-RECQ4,Viable,84,msh4
10,Col-0,TRV2-RECQ4,Viable,84,msh4
23,Col-0,TRV2-RECQ4,Viable,84,msh4
22,Col-0,TRV2-RECQ4,Viable,84,msh4
34,Col-0,TRV2-RECQ4,Viable,84,msh4
24,Col-0,TRV2-RECQ4,Viable,84,msh4
9,Col-0,TRV2-RECQ4,Viable,84,msh4
17,Col-0,TRV2-RECQ4,Viable,84,msh4
13,Col-0,TRV2-RECQ4,Viable,84,msh4
16,Col-0,TRV2-RECQ4,Viable,85,msh4
11,Col-0,TRV2-RECQ4,Viable,85,msh4
14,Col-0,TRV2-RECQ4,Viable,85,msh4
14,Col-0,TRV2-RECQ4,Viable,85,msh4
5,Col-0,TRV2-RECQ4,Viable,85,msh4
4,Col-0,TRV2-RECQ4,Viable,85,msh4
8,Col-0,TRV2-RECQ4,Viable,85,msh4
4,Col-0,TRV2-RECQ4,Viable,85,msh4
8,Col-0,TRV2-RECQ4,Viable,85,msh4
9,Col-0,TRV2-RECQ4,Viable,85,msh4
8,Col-0,TRV2-RECQ4,Viable,86,msh4
6,Col-0,TRV2-RECQ4,Viable,86,msh4
2,Col-0,TRV2-RECQ4,Viable,86,msh4
20,Col-0,TRV2-RECQ4,Viable,86,msh4
22,Col-0,TRV2-RECQ4,Viable,86,msh4
17,Col-0,TRV2-RECQ4,Viable,86,msh4
7,Col-0,TRV2-RECQ4,Viable,86,msh4
4,Col-0,TRV2-RECQ4,Viable,86,msh4
6,Col-0,TRV2-RECQ4,Viable,86,msh4
3,Col-0,TRV2-RECQ4,Viable,86,msh4
11,Col-0,TRV2-RECQ4,Viable,87,msh4
52,Col-0,TRV2-RECQ4,Viable,87,msh4
42,Col-0,TRV2-RECQ4,Viable,87,msh4
40,Col-0,TRV2-RECQ4,Viable,87,msh4
15,Col-0,TRV2-RECQ4,Viable,87,msh4
16,Col-0,TRV2-RECQ4,Viable,87,msh4
7,Col-0,TRV2-RECQ4,Viable,87,msh4
6,Col-0,TRV2-RECQ4,Viable,87,msh4
2,Col-0,TRV2-RECQ4,Viable,87,msh4
4,Col-0,TRV2-RECQ4,Viable,87,msh4
34,Col-0,TRV2-RECQ4,Viable,88,msh4
16,Col-0,TRV2-RECQ4,Viable,88,msh4
35,Col-0,TRV2-RECQ4,Viable,88,msh4
23,Col-0,TRV2-RECQ4,Viable,88,msh4
13,Col-0,TRV2-RECQ4,Viable,88,msh4
7,Col-0,TRV2-RECQ4,Viable,88,msh4
17,Col-0,TRV2-RECQ4,Viable,88,msh4
25,Col-0,TRV2-RECQ4,Viable,88,msh4
21,Col-0,TRV2-RECQ4,Viable,88,msh4
28,Col-0,TRV2-RECQ4,Viable,88,msh4
31,Col-0,TRV2-RECQ4,Viable,89,msh4
9,Col-0,TRV2-RECQ4,Viable,89,msh4
10,Col-0,TRV2-RECQ4,Viable,89,msh4
18,Col-0,TRV2-RECQ4,Viable,89,msh4
20,Col-0,TRV2-RECQ4,Viable,89,msh4
21,Col-0,TRV2-RECQ4,Viable,89,msh4
10,Col-0,TRV2-RECQ4,Viable,89,msh4
13,Col-0,TRV2-RECQ4,Viable,89,msh4
8,Col-0,TRV2-RECQ4,Viable,89,msh4
5,Col-0,TRV2-RECQ4,Viable,89,msh4
15,Col-0,TRV2-RECQ4,Viable,90,msh4
27,Col-0,TRV2-RECQ4,Viable,90,msh4
18,Col-0,TRV2-RECQ4,Viable,90,msh4
31,Col-0,TRV2-RECQ4,Viable,90,msh4
19,Col-0,TRV2-RECQ4,Viable,90,msh4
31,Col-0,TRV2-RECQ4,Viable,90,msh4
19,Col-0,TRV2-RECQ4,Viable,90,msh4
16,Col-0,TRV2-RECQ4,Viable,90,msh4
20,Col-0,TRV2-RECQ4,Viable,90,msh4
13,Col-0,TRV2-RECQ4,Viable,90,msh4
19,Col-0,TRV2-FIGL,Viable,91,msh4
6,Col-0,TRV2-FIGL,Viable,91,msh4
2,Col-0,TRV2-FIGL,Viable,91,msh4
9,Col-0,TRV2-FIGL,Viable,91,msh4
2,Col-0,TRV2-FIGL,Viable,91,msh4
8,Col-0,TRV2-FIGL,Viable,91,msh4
2,Col-0,TRV2-FIGL,Viable,91,msh4
4,Col-0,TRV2-FIGL,Viable,91,msh4
6,Col-0,TRV2-FIGL,Viable,91,msh4
6,Col-0,TRV2-FIGL,Viable,91,msh4
24,Col-0,TRV2-FIGL,Viable,92,msh4
0,Col-0,TRV2-FIGL,Viable,92,msh4
14,Col-0,TRV2-FIGL,Viable,92,msh4
18,Col-0,TRV2-FIGL,Viable,92,msh4
5,Col-0,TRV2-FIGL,Viable,92,msh4
7,Col-0,TRV2-FIGL,Viable,92,msh4
17,Col-0,TRV2-FIGL,Viable,92,msh4
3,Col-0,TRV2-FIGL,Viable,92,msh4
5,Col-0,TRV2-FIGL,Viable,92,msh4
4,Col-0,TRV2-FIGL,Viable,92,msh4
2,Col-0,TRV2-FIGL,Viable,93,msh4
5,Col-0,TRV2-FIGL,Viable,93,msh4
5,Col-0,TRV2-FIGL,Viable,93,msh4
9,Col-0,TRV2-FIGL,Viable,93,msh4
13,Col-0,TRV2-FIGL,Viable,93,msh4
12,Col-0,TRV2-FIGL,Viable,93,msh4
8,Col-0,TRV2-FIGL,Viable,93,msh4
4,Col-0,TRV2-FIGL,Viable,93,msh4
7,Col-0,TRV2-FIGL,Viable,93,msh4
3,Col-0,TRV2-FIGL,Viable,93,msh4
4,Col-0,TRV2-FIGL,Viable,94,msh4
8,Col-0,TRV2-FIGL,Viable,94,msh4
6,Col-0,TRV2-FIGL,Viable,94,msh4
9,Col-0,TRV2-FIGL,Viable,94,msh4
11,Col-0,TRV2-FIGL,Viable,94,msh4
6,Col-0,TRV2-FIGL,Viable,94,msh4
4,Col-0,TRV2-FIGL,Viable,94,msh4
6,Col-0,TRV2-FIGL,Viable,94,msh4
4,Col-0,TRV2-FIGL,Viable,94,msh4
3,Col-0,TRV2-FIGL,Viable,94,msh4
5,Col-0,TRV2-FIGL,Viable,95,msh4
5,Col-0,TRV2-FIGL,Viable,95,msh4
5,Col-0,TRV2-FIGL,Viable,95,msh4
34,Col-0,TRV2-FIGL,Viable,95,msh4
15,Col-0,TRV2-FIGL,Viable,95,msh4
58,Col-0,TRV2-FIGL,Viable,95,msh4
8,Col-0,TRV2-FIGL,Viable,95,msh4
32,Col-0,TRV2-FIGL,Viable,95,msh4
19,Col-0,TRV2-FIGL,Viable,95,msh4
10,Col-0,TRV2-FIGL,Viable,95,msh4
9,Col-0,TRV2-FIGL,Viable,96,msh4
20,Col-0,TRV2-FIGL,Viable,96,msh4
19,Col-0,TRV2-FIGL,Viable,96,msh4
5,Col-0,TRV2-FIGL,Viable,96,msh4
6,Col-0,TRV2-FIGL,Viable,96,msh4
8,Col-0,TRV2-FIGL,Viable,96,msh4
3,Col-0,TRV2-FIGL,Viable,96,msh4
1,Col-0,TRV2-FIGL,Viable,96,msh4
1,Col-0,TRV2-FIGL,Viable,96,msh4
2,Col-0,TRV2-FIGL,Viable,96,msh4
20,Col-0,TRV2-FIGL,Viable,97,msh4
31,Col-0,TRV2-FIGL,Viable,97,msh4
26,Col-0,TRV2-FIGL,Viable,97,msh4
20,Col-0,TRV2-FIGL,Viable,97,msh4
11,Col-0,TRV2-FIGL,Viable,97,msh4
9,Col-0,TRV2-FIGL,Viable,97,msh4
19,Col-0,TRV2-FIGL,Viable,97,msh4
12,Col-0,TRV2-FIGL,Viable,97,msh4
7,Col-0,TRV2-FIGL,Viable,97,msh4
15,Col-0,TRV2-FIGL,Viable,97,msh4
12,Col-0,TRV2-FIGL,Viable,98,msh4
2,Col-0,TRV2-FIGL,Viable,98,msh4
6,Col-0,TRV2-FIGL,Viable,98,msh4
6,Col-0,TRV2-FIGL,Viable,98,msh4
5,Col-0,TRV2-FIGL,Viable,98,msh4
3,Col-0,TRV2-FIGL,Viable,98,msh4
2,Col-0,TRV2-FIGL,Viable,98,msh4
2,Col-0,TRV2-FIGL,Viable,98,msh4
8,Col-0,TRV2-FIGL,Viable,98,msh4
1,Col-0,TRV2-FIGL,Viable,98,msh4
1,Col-0,TRV2-FIGL,Viable,99,msh4
4,Col-0,TRV2-FIGL,Viable,99,msh4
8,Col-0,TRV2-FIGL,Viable,99,msh4
13,Col-0,TRV2-FIGL,Viable,99,msh4
8,Col-0,TRV2-FIGL,Viable,99,msh4
16,Col-0,TRV2-FIGL,Viable,99,msh4
6,Col-0,TRV2-FIGL,Viable,99,msh4
2,Col-0,TRV2-FIGL,Viable,99,msh4
12,Col-0,TRV2-FIGL,Viable,99,msh4
8,Col-0,TRV2-FIGL,Viable,99,msh4
2,Col-0,TRV2-FIGL,Viable,100,msh4
8,Col-0,TRV2-FIGL,Viable,100,msh4
6,Col-0,TRV2-FIGL,Viable,100,msh4
0,Col-0,TRV2-FIGL,Viable,100,msh4
0,Col-0,TRV2-FIGL,Viable,100,msh4
4,Col-0,TRV2-FIGL,Viable,100,msh4
4,Col-0,TRV2-FIGL,Viable,100,msh4
12,Col-0,TRV2-FIGL,Viable,100,msh4
6,Col-0,TRV2-FIGL,Viable,100,msh4
10,Col-0,TRV2-FIGL,Viable,100,msh4
5,Col-0,TRV2-GUS,Viable,101,msh4
8,Col-0,TRV2-GUS,Viable,101,msh4
3,Col-0,TRV2-GUS,Viable,101,msh4
4,Col-0,TRV2-GUS,Viable,101,msh4
5,Col-0,TRV2-GUS,Viable,101,msh4
2,Col-0,TRV2-GUS,Viable,101,msh4
0,Col-0,TRV2-GUS,Viable,101,msh4
2,Col-0,TRV2-GUS,Viable,101,msh4
4,Col-0,TRV2-GUS,Viable,101,msh4
2,Col-0,TRV2-GUS,Viable,101,msh4
5,Col-0,TRV2-GUS,Viable,102,msh4
2,Col-0,TRV2-GUS,Viable,102,msh4
0,Col-0,TRV2-GUS,Viable,102,msh4
0,Col-0,TRV2-GUS,Viable,102,msh4
4,Col-0,TRV2-GUS,Viable,102,msh4
3,Col-0,TRV2-GUS,Viable,102,msh4
0,Col-0,TRV2-GUS,Viable,102,msh4
0,Col-0,TRV2-GUS,Viable,102,msh4
1,Col-0,TRV2-GUS,Viable,102,msh4
0,Col-0,TRV2-GUS,Viable,102,msh4
2,Col-0,TRV2-GUS,Viable,103,msh4
1,Col-0,TRV2-GUS,Viable,103,msh4
0,Col-0,TRV2-GUS,Viable,103,msh4
0,Col-0,TRV2-GUS,Viable,103,msh4
3,Col-0,TRV2-GUS,Viable,103,msh4
3,Col-0,TRV2-GUS,Viable,103,msh4
0,Col-0,TRV2-GUS,Viable,103,msh4
0,Col-0,TRV2-GUS,Viable,103,msh4
0,Col-0,TRV2-GUS,Viable,103,msh4
2,Col-0,TRV2-GUS,Viable,103,msh4
1,Col-0,TRV2-GUS,Viable,103,msh4
2,Col-0,TRV2-GUS,Viable,103,msh4
6,Col-0,TRV2-GUS,Viable,103,msh4
4,Col-0,TRV2-GUS,Viable,103,msh4
7,Col-0,TRV2-GUS,Viable,103,msh4
4,Col-0,TRV2-GUS,Viable,103,msh4
3,Col-0,TRV2-GUS,Viable,103,msh4
3,Col-0,TRV2-GUS,Viable,103,msh4
4,Col-0,TRV2-GUS,Viable,103,msh4
0,Col-0,TRV2-GUS,Viable,103,msh4
